NIM,Program Studi,Sebutkan kategori jenis pekerjaan yang Anda lakukan di tempat bekerja!,Jelaskan tugas-tugas utama dalam pekerjaan Anda saat ini?,Apakah pekerjaan yang Anda lakukan di tempat bekerja sesuai dengan bidang keilmuan?,Seberapa erat hubungan bidang studi dengan pekerjaan Anda?,Seberapa besar program studi Anda bermanfaat untuk hal-hal di bawah ini? [pembelajaran yang berkelanjutan dalam pekerjaan],Bidang usaha bekerja,Organisasi apa yang paling aktif Anda ikuti selama menjalani perkuliahan? (nama organisasi),IP,Sebutkan jenis kegiatan di organisasi yang aktif diikuti yang membantu mengasah kemampuan/skill Anda!,Seberapa besar program studi Anda bermanfaat untuk hal-hal di bawah ini? [memulai pekerjaan]
10116099,Matematika,Ngoding,,ya,item1,5,K,HIMATIKA,3.44,Badan Pengurus,5
10116103,Matematika,Actuarial Analyst,Actuarial reporting,ya,item1,5,K,ATLETIK GANESHA,3.58,Kepemimpinan,5
10116104,Matematika,-,membuat laporan,ya,item1,4,S,himatika,3.62,acara,4
10116105,Matematika,Project Management,Memastikan Projek RPA sesuai dengan kebutuhan client,ya,item3,1,S,HIMATIKA ITB,3.12,Kaderisasi,1
10216002,Fisika,Administrasi,Melakukan pengarsipan dokumen-dokumen dan manajemen waktu,tidak,item4,4,N,"KPA, UT, HIMAFI",3.05,"Mengikuti konser, Menjadi kepala bidang",4
10216003,Fisika,Mengambil dan mengolah data,,ya,item2,4,M,"Himpunan, Pramuka ITB",3.16,Diskusi keilmuan,4
10216004,Fisika,DATA,,tidak,item5,2,K,PSM-ITB,3.25,Penggelaran konser,2
10216005,Fisika,Ecommerce Enabler,,tidak,item3,4,J,HIMAFI,3.03,Membuat acara orientasi studi mahasiswa baru,4
10216006,Fisika,analyst,menyajikan dan menganalisis data serta memberikan solusi dari masalah yang ada,ya,item3,2,G,himpunan mahasiswa fisika,3.19,event-event himpunan,2
10216007,Fisika,keuangan,keuangan,tidak,,1,S,musik,3.25,musik,1
10216008,Fisika,IoT Engineer,Membuat ERP Tracking & Fleet Management System,tidak,item4,4,J,HIMAFI ITB,3.43,Eureka ITB - Pesta Rakyat Fisika ,4
10216009,Fisika,Sales,Sales,tidak,,2,U,Unit Kesenian Sumatera Utara ,2.97,Badan Pengurus Tahunan,2
10216010,Fisika,Analisis Data,"Merancang dan melakukan pengelolaan data, visualisasi data dan quality control untuk project berkaitan degan data",tidak,item3,4,Q,Paduan Suara Mahasiswa - ITB,3.32,Komunikasi & Perencanaan Kerja,1
10216011,Fisika,,Melakukan audit untuk keseluruhan internal proses bisnis yang ada di organisasi,,,4,,UBT ,3.15,-,4
10216012,Fisika,,"Saya menjadi guru Fisika di SMA Al-Bahjah Pusat Cirebon, dan saya menjadi agen Al-Bahjah Tour and Travel Cirebon.",,,4,,HIMAFI ITB,3.33,Kegiatan perayaan wisuda di HIMAFI,2
10216017,Fisika,Geophysics,Operator Alat dan Project Engineer,ya,,1,F,Himpunan Mahasiswa Fisika ITB,3.01,Forum Diskusi,2
10216018,Fisika,"Development, Administratif, Project Managing",Jadi project manager dalam pengembangan aplikasi finansial dengan perusahaan konsultan eksternal,tidak,,2,K,ITBJazz,3.21,Kepanitiaan acara,1
10216021,Fisika,-,,tidak,item4,4,S,Unit Selam Nautica,2.8,Diving,5
10216026,Fisika,Data Scientist,"Mengolah data, membersihkan data, membuat database, membuat machine learning, membuat model machine learning deployment, mencari insight dari data.",ya,item3,5,J,"HIMAFI, Merpati Putih ITB, Gamais",3.55,"Problem Solver Phiwiki, Bandung Adha Festival, Acara-acara himpunan lainnya",4
10216027,Fisika,Manajemen Risiko,Monitor log transaksi Market Place untuk mencegah adanya tindak Fraud atau Abuse dari user yang dapat merugikan perusahaan.,tidak,,2,S,Unit Kebudayaan Betawi,3.51,Latihan kesenian,4
10216028,Fisika,Marketing,Membuat dan menjalankan strategi marketing untuk produk perusahaan.,tidak,,2,Q,Persaudaraan Setia Hati Terate (PSHT) ITB,3.58,"Mengelola sumber daya anggota, kepemimpinan, manajemen waktu, desain, merencanakan kegiatan, melaksanakan kegiatan.",2
10216030,Fisika,Penguji mutu barang,Menjadi penguji mutu barang teknik,ya,,5,S,Himpunan Mahasiswa Fisika ITB (HIMAFI ITB),3.4,"Menjadi Kepala Divisi Kesejahteraan Mahasiswa, menjadi panitia beberapa acara yang diselenggarakan HIMAFI ITB.",4
10216032,Fisika,IT,Melakukan fungsi-fungsi untuk menjaga operasional IT,tidak,item5,4,K,Himafi,3.25,Arranged suatu acara,4
10216033,Fisika,Strategic dan Analysis,1) memberikan insight/rekomendasi bisnis ke atasan dan peers melalui proses analisis 2) bertanggung jawab untuk cost di 2 divisi,tidak,item3,2,A,HIMAFI ITB (himpunan Mahasiswa Fisika ITB),3.61,Menjadi ketua departemen di HIMAFI selama 1 tahun,1
10216037,Fisika,Analyst,Analisis data dan monitoring ,tidak,,4,K,Himpunan Mahasiswa Fisika ITB,2.99,Forum/kajian,4
10216038,Fisika,Software Developer,Membuat dan merawat piranti lunak,tidak,,4,J,HIMAFI ITB,3.53,Kepanitiaan acara dan usaha penerbitan buku,4
10216039,Fisika,Kalibrasi dan pengujian alat kesehatan (radiologi) dan uji kesesuaian pesawat sinar-X,,ya,item2,4,S,Himpunan Mahasiswa Fisika (HIMAFI) ITB dan Tarung Derajat (unit olahraga/bela diri),2.88,"Mengemukakan pendapat/ide, mengontrol masa dalam jumlah cukup banyak, public speaking",4
10216048,Fisika,Administrasi,"Membuat laporan
Membuat bahan paparan
Mengolah data",tidak,item3,2,F,Unit Kesenian Minangkabau ITB,3.08,Himafi,2
10216049,Fisika,,,,,5,,Himpunan mahasiswa jurusan,3.02,Kajian,5
10216050,Fisika,"Administrasi, menjadi guru",Mengajar siswa SD,tidak,item3,4,P,HIMAFI ITB ,3.08,"Kesenatoran, nulis di media",5
10216052,Fisika,,"Berkomunikasi dengan klien untuk membangun kuesioner yang digunakan untuk survei, memanage timeline kerja lapangan survei dan berkomunikasi dengan tim lapangan untuk kelancaran timeline, menyajikan data dengan bantuan excel dan ppt.",,,4,,HIMAFI ITB,3.14,Mengolah database keaktifan anggota HIMAFI ITB,4
10216053,Fisika,Product Engineering,Melakukan improvement di proses dan produk semikonduktor,ya,,4,M,Persekutuan Mahasiswa Kristen,3.14,Himpunan Mahasiswa Fisika,4
10216054,Fisika,Media dan PR,"Menulis
Menyunting tulisan
Membuat situs/tulisan lebih terlihat di mesin pencari seperti Google",tidak,item5,2,J,PS ITB,3.07,Sepak bola,4
10216056,Fisika,supply chain,"menjaga ketersediaan produk, (supply chain)",tidak,,4,J,jurusan,3.56,"mengadakan kompetisi, studi banding",2
10216058,Fisika,Pengajar,"Mengajar, membuat materi",ya,,5,P,HIMAFI ,3.3,ISO (ITB Student Orchestra),5
10216059,Fisika,Interpreter,Menjadi penerjemah lisan/tulisan Bahasa Jepang untuk supervisor orang Jepang ketika akan berkomunikasi dengan staff/klien orang Indonesia.,tidak,item5,4,K,HIMAFI ITB,2.92,"Peserta tutor (belajar bersama), panitia wisuda",4
10216060,Fisika,Pengajaran,Mengajar freelance sebagai tutor online.,ya,,5,P,UBV (Voli),3.12,Tidak ada,4
10216061,Fisika,"tutor matematika, fisika, dan pemrograman (Matlab, C++, java, python)","Menyediakan penjelasan yang baik, benar, dan jelas secara tertulis untuk soal/pertanyaan yang dimiliki oleh klien/siswa.",ya,item1,4,P,MATA (Majeslis Taklim Salman),3.85,Dauroh,4
10216063,Fisika,,Mengelola sistem dan jaringan,,,2,,"Unit Panahan ""PASOPATI"" ITB",3.2,Latihan panahan rutin mingguan,2
10216064,Fisika,event,membangun komunitas untuk perusahaan,tidak,,2,R,UKAWANGI ITB,2.99,PAGELARAN BUDAYA,2
10216065,Fisika,Survey,Mengambil data di lapangan,ya,item3,2,M,Tutor Asrama ITN,2.83,"Pelatihan, workshop dan pembinaan",2
10216066,Fisika,Marketing,,tidak,item4,5,J,Himpunan program studi,3.39,Komunikasi,5
10216069,Fisika,-,"Customer Engagement Relationship (CRM), yang tugas-tugas utamanya:
1. Mendefinisikan segmentasi customer yang paling efektif untuk penentuan persona tiap customer,
2. Menentukan strategi terbaik untuk meningkatkan transaksi customer sesuai dengan segmentasi.",tidak,item4,2,I,"Himpunan Mahasiswa Fisika (HIMAFI) ITB, Unit Kebudayaan Melayu Riau (UKMR) ITB",3.34,-,1
10216070,Fisika,Guru,Guru,tidak,,5,P,"HIMAFI, Barisan ITB",2.95,Kepanitiaan,5
10216072,Fisika,Quality,,ya,item3,2,C,PMK,3.01,Mentoring,2
10216073,Fisika,Project Manager,Management Project,tidak,item5,2,S,MUSI ITB dan Protokoler iTB,3.4,Training,2
10216078,Fisika,Pendidikan,Mengajarkan fisika dasar pada siswa tingkat SD-Mahasiswa tingkat pertama,ya,item1,4,P,Himpunan Program Studi serta Unit Kesenian dan Kebudayaan,3.28,"Mengorganisir pembuatan dan pemasaran buku latihan soal, Mengorganisir acara pentas seni tahunan, Kesempatan bertemu dan mendapat ilmu baru dari alumni organisasi",2
10216079,Fisika,Data Science,Mengubah data menjadi informasi,tidak,item5,2,K,HIMAFI ITB,3.81,PHIWIKI,2
10216083,Fisika,Manajemen dan Perencanaan,Perencana dan manajemen disebuah yayasan pendidikan,tidak,item4,4,P,HIMAFI ITB,3.14,Badan Pengurus,2
10216084,Fisika,Guru Fisika,"1. Merencanakan strategi bisnis & manajemen bisnis
2. Membuat desain
3. Menganalisis data",ya,,4,M,"HIMAFI ITB, Event GAMAIS ITB, Tim MWA WM Mahasiswa ",3.43,"rapat, mengatur arsip dan dokumentasi, menyampaikan pendapat, dan berkomunikasi",4
10216085,Fisika,"Administrasi, Perencanaan, Programming, Manajemen, Pengetahuan Teknologi Informasi","Menganalisis sistem yang dikembangkan oleh perusahaan, membuat dokumentasi sistem, mengetes dan melaporkan kendala sistem kepada pihak pengembang, dan lain-lain",tidak,item5,4,J,Keluarga Mahasiswa Islam ITB,3.53,"Kaderisasi, rapat tahunan, workshop",4
10216086,Fisika,Web developer,WEB DEVELOPER,tidak,item4,2,J,MENWA,2.87,Kemampuan bertahan hidup dan beradaptasi di lingkungan baru,2
10216089,Fisika,Guru Privat,"mengajar Matematika dan Fisika untuk siswa sekolah
membuat laporan terkait pengajaran yang dilakukan",ya,,4,P,HIMAFI ITB,3.56,Eureka! 2020; HIMAFI Juara PKM,2
10216091,Fisika,,"Software development untuk mengendalikan motor yang banyak, membuat ERP untuk management perusahaan, membuat ERP untuk sistem penjualan",,,4,,HIMAFI ITB,3.27,WIsuda ITB,4
10216092,Fisika,Human Capital,,tidak,item5,1,J,Laboratorium Fisika Dasar ITB,3.33,Asisten dan Koordinator Praktikum,1
10216093,Fisika,Analisis Data,Data Analyst,tidak,item3,4,H,HIMAFI ITB,3.01,HIMPUNAN,4
10216095,Fisika,Consultant Staff,Consultant Staff,ya,item2,4,P,PMK,3.13,Persekutuan,4
10216097,Fisika,data analyst,data analyst,tidak,,4,J,HIMAFI,2.79,WISNIGHT,4
10216098,Fisika,Engineer,"Design Engineering - desain 3D 2D alat berat
UI/UX - rancang UI untuk web
Robotics - project manager",tidak,item4,2,B,URPA,3.45,Latihan rutin,2
10216100,Fisika,Consulting,"SAP Analyst FICO
gather client's business requirements of finance & accounting and translate to SAP system
suggest potential enhancement in client's business using SAP system (and surrounding system)",tidak,item4,5,S,HIMAFI,3.4,MENJADI BENDAHARA PHIWIKI DI HIMAFI,4
10216101,Fisika,,,,,4,,HIMAFI,3.12,Menjadi Kepala Divisi,2
10216102,Fisika,Data Analyst,"membersihkan data, menganalisa data, membuat dashboard, memberikan insight dan rekomendasi",tidak,item5,2,Q,HIMAFI,3.28,"Menjadi staff panitia perlombaan, kaderisasi, dan ketua departemen badan pengurus",2
10216103,Fisika,,"Mendidik, Meneliti, dan Melaksanakan pengabdian masyarakat",,,5,,Tutor Asrama,3.39,PT Asrama,5
10216104,Fisika,analisis,analisis data,tidak,item5,1,J,atlas,3.12,menjadi bendahara,1
10216105,Fisika,Software Engineering ,Developing and fixing bugs scrapers. ,tidak,item3,2,J,HIMAFI,3.4,-,4
10316001,Astronomi,Mengajar,,ya,item3,4,P,Himastron,3.07,"Diskusi, merancang program, manajemen sdm",2
10316002,Astronomi,Data Analyst,Mengolah dan menganalisis data,tidak,item3,2,S,Himastron,3.25,Tugas harian badan pengurus,4
10316005,Astronomi,Layanan,CS,tidak,item5,4,K,Himastron,3.63,Rapat,4
10316006,Astronomi,,,,,4,,Tim Teknis TPOA,3.57,Tim Teknis TPOA,4
10316007,Astronomi,Business Analyst,"> Analisis bisnis untuk memberikan rekomendasi yang bertanggung jawab secara end-to-end atas seluruh inisiatif yang dilakukan
> Berkolaborasi dengan tim-tim yang relevan untuk melakukan problem solving atas case-case yang sedang dihadapi",tidak,item4,2,H,"Paguyuban daerah, himpunan program studi",3.56,"Kepanitiaan, dana usaha, rapat",4
10316011,Astronomi,Mengajar,,tidak,item3,5,P,"Himpunan mahasiswa, koperasi",3.28,"Pengabdian masyarakat â€”> komunukasi publik, leadership; sekretaris jenderal koperasi â€”> manajemen",5
10316014,Astronomi,Data,Data Analyst and Data Engineer Roles,tidak,,2,I,HIMASTRON dan GAMAIS,2.88,-,1
10316016,Astronomi,Audit,"Data Analyze
Menganalisis data-data yang berhubungan dengan produksi, serta membantu perusahaan yang sedang dalam masa transisi dari manual ke digitalisasi.

Audit Production
Mengaudit produksi dari perusahaan dari mulai bahan baku, 1/2 jadi, dan bahan jadi, untuk menghemat costing yang digunakan untuk membuat bahan jadi dengan modal seminimal mungkin.
",tidak,,2,C,Himastron,2.81,"Perakitan Teleskop, sharing bersama alumni, kepanitiaan acara-acara himpunan lainnya",2
10316018,Astronomi,Area Sales,Handling area dalam mencapai target perusahaan,tidak,,4,G,Himpunan Mahasiswa Astronomi,3.28,"Diskusi, kegiatan internal",4
10316023,Astronomi,Content Writer Specialist,Menulis konten-konten untuk di media sosial maupun website,tidak,,2,J,"Keluarga Paduan Angklung, Tim MWA-WM",2.89,"Kepemimpinan, time management, teamwork",2
10316024,Astronomi,Pemrograman,Mengerjakan produk kriptografi,ya,item2,5,J,Unit Robotika,3.03,Kontes Robot Indonesia,4
10316028,Astronomi,Data Science,-,ya,item1,5,P,Himpunan Mahasiswa,3.11,Himpunan Mahasiswa,5
10316029,Astronomi,Data Scientist ,"Data Engineer, Data Scientist ",ya,item4,4,S,Kongres KM ITB,3.45,Leadership ,4
10316030,Astronomi,"Pengolahan Data, Forecasting",Analisa data yang diperlukan setiap hari dan untuk pemenuhan kebutuhan brand yang dipegang.,ya,,4,S,Himpunan Mahasiswa Astronomi,3.35,"Diskusi, Praktik, Kegiatan Kekeluargaan",4
10316032,Astronomi,"Analisis data, pengembangan dan implementasi model machine learning",,tidak,item4,2,S,Himastron ITB,3.97,Pengamatan dengan teleskop dan pengabdian masyarakat,2
10316034,Astronomi,Riset,"1. Melakukan riset pada produk-produk di dalam perusahaan
2. Melakukan analisis terhadap data kuantitatif maupun kualitatif yang berguna untuk bisnis perusahaan",tidak,item4,2,A,Himastron dan KPA,3.12,Menjadi ketua divisi pada berbagai acara organisasi,1
10316035,Astronomi,Administrasi,"Laporan Harian, mingguan, bulanan, dan tahunan; administrasi divisi; schedule divisi",tidak,item3,4,C,Keluarga Paduan Angklung KPA ITB dan Himastron ITB,3.24,"Kepanitiaan orientasi, acara penampilan KPA ITB",2
10316037,Astronomi,Industry Digital,"1. Management Feature
2. Mengatur timeline
3. Berkoordinasi dengan manager dari divisi lain",tidak,,1,J,Menwa ITB,3.02,Event management ,1
10316039,Astronomi,Internal Audit,Internal Audit,tidak,item5,2,K,Himpunan Mahasiswa Astronomi ITB,3.39,"Public speaking, Critical Thinking, Time Management",2
